,actual,forecast_1,forecast_2,forecast_3,forecast_4,forecast_5,forecast_6,forecast_7
2016-03-30,5.980000019073486,6.058389,6.016859,5.963155,5.9681044,5.9305935,5.8672605,5.9047637
2016-03-31,6.150000095367432,6.0121794,6.0396676,6.0152655,5.962244,5.983696,5.932144,5.8615932
2016-04-01,6.190000057220459,6.1073236,6.021973,6.038515,6.013393,5.969194,5.98783,5.9364367
2016-04-02,6.159999847412109,6.145489,6.077619,6.022197,6.037355,6.034469,5.971252,5.995108
2016-04-03,6.159999847412109,6.1409674,6.114135,6.0764656,6.0220647,6.0524197,6.0400934,5.9744625
2016-04-04,6.210000038146973,6.1504316,6.123658,6.1125145,6.075195,6.024042,6.0576296,6.051499
2016-04-05,6.059999942779541,6.1794147,6.1372557,6.1226134,6.1110735,6.0911603,6.02569,6.0669594
2016-04-06,6.170000076293945,6.1082344,6.1584563,6.1365266,6.1213408,6.127089,6.09608,6.030563
2016-04-07,6.389999866485596,6.164558,6.1250687,6.1574407,6.135537,6.1330037,6.1328287,6.1082025
2016-04-08,6.150000095367432,6.287036,6.1533284,6.1255674,6.1563144,6.1481233,6.136973,6.1448636
2016-04-09,6.179999828338623,6.185161,6.2303987,6.1530247,6.125914,6.1704144,6.151571,6.147052
2016-04-10,6.170000076293945,6.1906257,6.1945105,6.2278996,6.152538,6.124119,6.1754107,6.159613
2016-04-11,6.130000114440918,6.182814,6.191185,6.194335,6.2256937,6.1586003,6.1244617,6.1849794
2016-04-12,5.989999771118164,6.158917,6.1854258,6.1913033,6.1940618,6.249494,6.160875,6.1268334
2016-04-13,6.059999942779541,6.081892,6.169649,6.185542,6.1908755,6.1951823,6.256897,6.1672535
2016-04-14,6.03000020980835,6.097222,6.1206636,6.1701274,6.1857414,6.196171,6.196098,6.272873
2016-04-15,5.989999771118164,6.0577154,6.1114335,6.122405,6.170586,6.1891155,6.1972675,6.198696
2016-04-16,6.0,6.02739,6.075091,6.1124225,6.124079,6.1651716,6.1904263,6.200672
2016-04-17,6.010000228881836,6.01617,6.0493593,6.075966,6.1134615,6.107468,6.165149,6.192131
2016-04-18,5.869999885559082,6.0110292,6.0307074,6.05046,6.077164,6.1029415,6.1022973,6.1657376
2016-04-19,5.960000038146973,5.9283175,6.0199094,6.0315404,6.051637,6.0643015,6.099816,6.0950174
2016-04-20,5.960000038146973,5.96198,5.9656787,6.020429,6.0324955,6.0363355,6.0604267,6.0929556
2016-04-21,6.0,5.957902,5.9707456,5.9673414,6.021131,6.02171,6.031513,6.052544
2016-04-22,5.980000019073486,5.9781394,5.964574,5.9714904,5.969055,6.012548,6.0174413,6.021595
2016-04-23,6.019999980926514,5.970568,5.9744744,5.964943,5.9722805,5.9500318,6.009615,6.0081873
2016-04-24,6.059999942779541,5.992798,5.97215,5.9743867,5.9656477,5.9630914,5.943924,6.001483
2016-04-25,6.070000171661377,6.018332,5.985258,5.9721794,5.9743867,5.957829,5.9597626,5.9307466
2016-04-26,6.0,6.041492,6.0038495,5.984956,5.9722705,5.9708557,5.955112,5.9520383
2016-04-27,6.0,6.012756,6.0282817,6.003163,5.9846344,5.9705358,5.9695644,5.9483685
2016-04-28,5.949999809265137,6.0119495,6.0180016,6.027579,6.0025277,5.987176,5.9689817,5.9661274
2016-04-29,6.050000190734863,5.9828053,6.015942,6.0180893,6.026841,6.009149,5.987683,5.9653316
2016-04-30,6.0,6.0316033,5.9967737,6.016163,6.0180345,6.0339804,6.0109205,5.9866014
2016-05-01,6.010000228881836,6.0099506,6.020377,5.9974017,6.016246,6.0192842,6.0361924,6.0140147
2016-05-02,6.099999904632568,6.0105414,6.0123343,6.0200443,5.998047,6.016785,6.0196095,6.0402985
2016-05-03,6.039999961853027,6.0546484,6.01017,6.0123215,6.019767,5.9929075,6.017154,6.0204754
2016-05-04,5.860000133514404,6.03557,6.034693,6.010178,6.012442,6.0220094,5.9917917,6.017813
2016-05-05,5.949999809265137,5.938793,6.033495,6.033848,6.0100784,6.010865,6.0230393,5.989956
