record_date,volume,avg_price
7/28/2016,1551727214,5.73
7/29/2016,1554741223,5.4
7/30/2016,1720236562,5.65
7/31/2016,1636124564,5.32
8/1/2016,1347488292,5.34
8/2/2016,1538556257,5.29
8/3/2016,1307466549,5.74
8/4/2016,1740394754,5.79
8/5/2016,1761226422,5.55
8/6/2016,1479319739,5.5
8/7/2016,1947758455,5.3
8/8/2016,2390107166,5.37
8/9/2016,2404041291,5.25
8/10/2016,1538589020,5.25
8/11/2016,1947524124,5.49
8/12/2016,2083619720,5.39
8/13/2016,2406421236,5.35
8/14/2016,1955245220,5.5
8/15/2016,2097118543,5.37
8/16/2016,1359132858,5.35
8/17/2016,1085298142,5.31
8/18/2016,2249952477,5.28
8/19/2016,1194362967,5.67
8/20/2016,2087515369,5.49
8/21/2016,2251350096,5.25
8/22/2016,1304021966,5.5
8/23/2016,1448680711,5.31
8/24/2016,2138358784,5.65
8/25/2016,1682762315,5.4
8/26/2016,913095885,5.6
8/27/2016,1734363168,5.71
8/28/2016,2706692459,5.78
8/29/2016,1188256935,5.51
8/30/2016,2279866188,5.49
8/31/2016,1780990051,5.5
9/1/2016,1703158334,5.4
9/2/2016,1748256762,5.6
9/3/2016,2661856871,5.67
9/4/2016,1210134875,5.74
9/5/2016,2435597694,5.8
9/6/2016,1567128591,5.95
9/7/2016,806523064,5.87
9/8/2016,1732759008,5.72
9/9/2016,1586200608,5.82
9/10/2016,2042229971,5.77
9/11/2016,1535930446,5.58
9/12/2016,2489051132,5.53
9/13/2016,2685612437,5.33
9/14/2016,1009649525,5.86
9/15/2016,1822316210,5.91
9/16/2016,1384644334,5.69
9/17/2016,2229070642,5.6
9/18/2016,1845944579,5.55
9/19/2016,1831639147,5.73
9/20/2016,1928466828,5.5
9/21/2016,1611269704,5.65
9/22/2016,1567582463,5.7
9/23/2016,1433811017,5.58
9/24/2016,2146873485,5.7
9/25/2016,1714529001,5.74
9/26/2016,1182486522,5.6
9/27/2016,1573015856,5.65
9/28/2016,1270506662,5.72
9/29/2016,1474089322,5.93
9/30/2016,1282886479,5.75
10/1/2016,2299596768,5.69
10/2/2016,2797101878,5.8
10/3/2016,1952095724,5.87
10/4/2016,1600309555,5.84
10/5/2016,1499914035,5.65
10/6/2016,2939739347,5.99
10/7/2016,1560458879,5.86
10/8/2016,1854280558,5.8
10/9/2016,2339438529,5.93
10/10/2016,2408498919,5.64
10/11/2016,1873967445,5.82
10/12/2016,2008045230,5.61
10/13/2016,1502037203,5.95
10/14/2016,2190970824,5.78
10/15/2016,2379529792,5.83
10/16/2016,2237520411,5.8
10/17/2016,1686808040,5.85
10/18/2016,1963209894,5.81
10/19/2016,1422010530,5.9
10/20/2016,1982989926,5.89
10/21/2016,1551934640,5.89
10/22/2016,2042283532,5.86
10/23/2016,2282912574,5.79
10/24/2016,1974422950,5.76
10/25/2016,1811349691,5.68
10/26/2016,1234071658,5.83
10/27/2016,1983062399,5.8
10/28/2016,1421278623,5.79
10/29/2016,2291357774,5.75
10/30/2016,1768018464,5.76
10/31/2016,3719522477,5.33
11/1/2016,1736110200,5.56
11/2/2016,1919508112,5.9
11/3/2016,1093823274,5.93
11/4/2016,1804679649,5.9
11/5/2016,2049768272,5.85
11/6/2016,1826591312,5.88
11/7/2016,1366942798,5.7
11/8/2016,1480150752,5.85
11/9/2016,1248804283,5.9
11/10/2016,1602763645,5.8
11/11/2016,1671743899,5.75
11/12/2016,3057761145,6.01
11/13/2016,1624058962,5.82
11/14/2016,1697615774,5.81
11/15/2016,1781080380,5.7
11/16/2016,1354665120,5.77
11/17/2016,2963005137,6.06
11/18/2016,1750189801,5.7
11/19/2016,1938194978,5.94
11/20/2016,2461424131,5.75
11/21/2016,1984564090,5.77
11/22/2016,2470242407,5.94
11/23/2016,2293579608,5.77
11/24/2016,3060700284,5.8
11/25/2016,1808016359,5.6
11/26/2016,3349266151,5.65
11/27/2016,3620292802,5.84
11/28/2016,2169956618,5.78
11/29/2016,4031483780,5.89
11/30/2016,1729218111,5.56
12/1/2016,2928231654,5.5
12/2/2016,2021387171,5.45
12/3/2016,3198073937,5.44
12/4/2016,3433377939,5.49
12/5/2016,1384321704,5.5
12/6/2016,3025619885,5.32
12/7/2016,2978136852,5.21
12/8/2016,3002923403,5.18
12/9/2016,3033718186,5.14
12/10/2016,3465859574,5.18
12/11/2016,3157491729,5.15
12/12/2016,2580106773,5.04
12/14/2016,1719058130,5
12/15/2016,1946297839,4.93
12/16/2016,2222099576,4.86
12/17/2016,3260169956,4.75
12/18/2016,3054550373,4.9
12/19/2016,2169724587,4.76
12/20/2016,2424582441,4.75
12/21/2016,2341784400,4.74
12/22/2016,3318342526,4.78
12/23/2016,3058282577,4.82
12/24/2016,2831656266,4.75
12/25/2016,2542088055,4.8
12/26/2016,2184046908,4.82
12/27/2016,1369851359,4.73
12/28/2016,3216534119,4.54
12/29/2016,2765524231,4.8
12/30/2016,2586915584,4.65
12/31/2016,2688159125,4.61
1/1/2017,3341663972,4.7
1/2/2017,2645254301,4.7
1/3/2017,3827475833,4.71
1/4/2017,2524299902,4.74
1/5/2017,2495508267,4.95
1/6/2017,1908368898,4.7
1/7/2017,2635544678,4.82
1/8/2017,2554467184,4.77
1/9/2017,2098257990,4.57
1/10/2017,2005259562,4.7
1/11/2017,2319725893,4.75
1/12/2017,2464148014,4.8
1/13/2017,1891766128,4.8
1/14/2017,2774096238,4.63
